epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1584.97,0.55997,0.47,1.05882,0.95466,0.9385,0.97376,0.81622,0.6526,0.39818,1.11921,0.000594125,0.000594125,0.000594125
55,1614.7,0.5747,0.47791,1.053,0.97386,0.90549,0.96588,0.805,0.67482,0.43188,1.14999,0.00058175,0.00058175,0.00058175
56,1644.27,0.53295,0.43979,1.03391,0.9563,0.92099,0.97118,0.81634,0.65,0.43469,1.13308,0.000569375,0.000569375,0.000569375
57,1673.88,0.53883,0.44742,1.02808,0.95799,0.92435,0.97034,0.80356,0.68331,0.41505,1.15448,0.000557,0.000557,0.000557
58,1703.45,0.5494,0.43961,1.0465,0.94214,0.92709,0.96067,0.7973,0.67399,0.44459,1.15273,0.000544625,0.000544625,0.000544625
59,1733.01,0.54109,0.42898,1.03861,0.9317,0.94114,0.96419,0.81176,0.63264,0.41975,1.10934,0.00053225,0.00053225,0.00053225
60,1762.62,0.54471,0.44668,1.04245,0.94345,0.94117,0.97236,0.80513,0.64567,0.41296,1.14119,0.000519875,0.000519875,0.000519875
61,1792.19,0.53264,0.4346,1.03054,0.95213,0.94194,0.97142,0.81255,0.65129,0.40572,1.1369,0.0005075,0.0005075,0.0005075
62,1821.67,0.52909,0.41801,1.02856,0.96443,0.93536,0.97465,0.81259,0.65246,0.37794,1.15621,0.000495125,0.000495125,0.000495125
63,1851.29,0.53273,0.43232,1.03625,0.96514,0.93895,0.97388,0.81621,0.64617,0.37972,1.13669,0.00048275,0.00048275,0.00048275
64,1881.1,0.5174,0.4155,1.01909,0.95068,0.93507,0.97893,0.81948,0.65221,0.38417,1.14635,0.000470375,0.000470375,0.000470375
65,1910.83,0.53015,0.42576,1.02827,0.9679,0.87768,0.9719,0.81755,0.64107,0.40983,1.13734,0.000458,0.000458,0.000458
66,1940.36,0.50666,0.41254,1.02764,0.95365,0.94177,0.97338,0.82387,0.64339,0.37868,1.13684,0.000445625,0.000445625,0.000445625
67,1970.02,0.51832,0.42242,1.03648,0.96422,0.92587,0.96914,0.82023,0.63194,0.40532,1.11971,0.00043325,0.00043325,0.00043325
68,1999.55,0.51395,0.40627,1.01921,0.94058,0.92528,0.9687,0.80951,0.64346,0.42612,1.13967,0.000420875,0.000420875,0.000420875
69,2029.18,0.51954,0.42419,1.02699,0.94491,0.93894,0.96987,0.81256,0.66743,0.41018,1.17003,0.0004085,0.0004085,0.0004085
70,2058.8,0.49396,0.40803,1.0111,0.95261,0.92934,0.97069,0.8115,0.65843,0.39338,1.1807,0.000396125,0.000396125,0.000396125
71,2088.44,0.49711,0.39234,1.01384,0.95746,0.9231,0.97415,0.82058,0.64974,0.3989,1.13863,0.00038375,0.00038375,0.00038375
